be,2,である,verb
have,8,持っている,verb
do,21,する,verb
say,30,言う,verb
go,31,行く,verb
would,36,?だろう,verb
know,41,知っている,verb
get,43,手に入れる,verb
think,47,思う,verb
make,48,作る,verb
see,50,見る,verb
take,59,取る,verb
come,65,来る,verb
could,66,?できた,verb
work,67,働く,verb
use,68,使う,verb
look,75,見る,verb
want,76,欲しい,verb
give,77,給与する,verb
find,81,見つける,verb
should,89,?すべきである,verb
need,90,必要がある,verb
mean,95,意味する,verb
may,97,?かもしれない,verb
tell,103,話す,verb
call,105,呼ぶ,verb
show,110,見せる,verb
change,113,変える,verb
feel,117,感じる,verb
write,121,書く,verb
try,125,試みる,verb
leave,126,去る,verb
help,133,助ける,verb
ask,134,尋ねる,verb
meet,135,会う,verb
start,136,始める,verb
talk,137,話す,verb
put,139,置く,verb
become,141,?になる,verb
live,153,住む,verb
play,158,遊ぶ,verb
might,159,?かもしれない,verb
must,160,?しなければならない,verb
include,163,含む,verb
report,166,報告する,verb
seem,173,?のように見える,verb
let,174,?させる,verb
keep,177,保つ,verb
hear,178,聞こえる,verb
set,185,配置する,verb
study,187,勉強する,verb
follow,188,従う,verb
begin,189,始める,verb
run,192,走る,verb
turn,194,回る,verb
bring,196,持ってくる,verb
move,200,動く,verb
provide,205,提供する,verb
read,207,読む,verb
open,214,開く,verb
pay,220,支払う,verb
build,221,建てる,verb
hold,222,持つ,verb
believe,225,信じる,verb
love,229,愛する,verb
increase,230,増加する,verb
happen,236,起こる,verb
offer,237,提供する,verb
close,239,閉める,verb
lead,241,導く,verb
buy,242,買う,verb
understand,243,理解する,verb
thank,244,感謝する,verb
spend,258,費やす,verb
learn,261,学ぶ,verb
support,272,支持する,verb
speak,284,話す,verb
consider,295,検討する,verb
control,301,支配する,verb
lose,305,失う,verb
continue,308,続ける,verb
stand,309,立つ,verb
expect,314,期待する,verb
fall,320,落ちる,verb
deal,321,扱う,verb
send,323,送る,verb
allow,324,許可する,verb
watch,326,見る,verb
suggest,329,提案する,verb
visit,333,訪問する,verb
grow,335,成長する,verb
return,337,戻る,verb
walk,339,歩く,verb
stay,345,滞在する,verb
stop,347,止まる,verb
develop,350,発達させる,verb
remember,351,覚えている,verb
share,353,共有する,verb
sit,356,座る,verb
decide,359,決める,verb
break,368,壊す,verb
